,phi0,p,m,P[N],xc,yc,small_delta_v,safety_ratio
152,50.4,0.8211492091337039,0.6546765950740567,0.5139318536841858,2.03853894436208,1.3657351432801996,1.3393747506320106,2.060851962350438
153,50.6,0.8221440410307375,0.6537480825822674,0.5163628716585604,2.0346838993436034,1.3702743481194828,1.3457103067371023,2.0520455008559053
154,50.8,0.8231363685344418,0.6528247986179183,0.5188023557950135,2.030815438059587,1.3748037236676696,1.3520679267863558,2.043302817515235
155,51.0,0.8241261886220156,0.6519067092216397,0.5212503913699176,2.0269335777766306,1.3793232398467838,1.3584478330213374,2.0346231477160037
156,51.2,0.8251134982782952,0.6509937807855725,0.5237070643426198,2.0230383357417927,1.3838328666572934,1.3648502494635364,2.0260057386127635
157,51.4,0.8260982944957638,0.6500859800487171,0.5261724613654905,2.019129729181046,1.3883325741782386,1.3712754019405522,2.017449848896766
158,51.6,0.8270805742745618,0.6491832740923597,0.5286466697940009,2.0152077752980175,1.3928223325677107,1.3777235181123593,2.008954748571088
159,51.8,0.8280603346224944,0.6482856303355786,0.5311297776970307,2.0112724912724933,1.3973021120629965,1.3841948274981688,2.000519718730909
160,52.0,0.8290375725550417,0.647393016530823,0.5336218738672651,2.0073238942590272,1.4017718829809853,1.3906895615035255,1.9921440513488582
161,52.2,0.8300122850953674,0.6465054007595696,0.5361230478317561,2.003362001385533,1.4062316157184334,1.3972079534478319,1.9838270490652663
162,52.4,0.8309844692743282,0.6456227514280491,0.5386333898626375,1.9993868297518176,1.4106812807522424,1.4037502385922724,1.9755680249832241
163,52.6,0.8319541221304825,0.6447450372630462,0.5411529909880016,1.9953983964280835,1.415120848639789,1.4103166541681602,1.967366302468247
164,52.8,0.8329212407100994,0.6438722273077678,0.5436819430029427,1.9913967184533994,1.4195502900191914,1.416907439405717,1.9592212149524777
165,53.0,0.8338858220671681,0.6430042909177811,0.5462203384806896,1.9873818128343452,1.42396957560965,1.4235228355630876,1.9511321057433912
166,53.2,0.8348478632634065,0.6421411977570178,0.54876827078403,1.9833536965432834,1.4283786762116832,1.4301630859561114,1.94309832783662
167,53.4,0.8358073613682702,0.6412829177938445,0.5513258340767913,1.979312386516912,1.4327775627074535,1.4368284359882435,1.935119243733115
168,53.6,0.8367643134589617,0.6404294212971969,0.5538931233355409,1.9752578996546655,1.4371662060610615,1.4435191331810489,1.9271942252603032
169,53.8,0.8377187166204387,0.6395806788327791,0.5564702343614412,1.9711902528171683,1.4415445773187976,1.4502354272050952,1.9193226533972478
170,54.0,0.8386705679454239,0.6387366612593216,0.5590572637923086,1.9671094628245434,1.4459126476095392,1.456977569911383,1.9115039181036022
171,54.2,0.8396198645344132,0.6378973397249024,0.5616543091148555,1.9630155464547672,1.450270388144842,1.4637458153632472,1.9037374181523943
172,54.4,0.8405666034956842,0.6370626856633277,0.5642614686770547,1.9589085204421048,1.454617770219448,1.4705404198685839,1.8960225609664552
173,54.6,0.8415107819453062,0.6362326707905696,0.566878841700742,1.954788401475425,1.4589547652114374,1.4773616420126898,1.8883587624584504
174,54.8,0.8424523970071475,0.6354072671012609,0.5695065282944739,1.9506552061963198,1.4632813445825046,1.4842097426917764,1.8807454468742488
175,55.0,0.8433914458128856,0.6345864468652478,0.5721446294664198,1.946508951197626,1.46759747987834,1.4910849851465637,1.873182046639894
176,55.2,0.8443279255020151,0.6337701826241957,0.5747932471376094,1.9423496530214968,1.4719031427288254,1.4979876349968082,1.865668002211717
177,55.4,0.8452618332218561,0.6329584471882501,0.5774524841553113,1.9381773281576782,1.476198304848346,1.5049179602761682,1.858202761929713
178,55.6,0.8461931661275639,0.6321512136327493,0.5801224443065848,1.9339919930418297,1.480482938036091,1.5118762314675214,1.8507857818741256
179,55.8,0.8471219213821372,0.6313484552949901,0.5828032323321864,1.92979366405345,1.4847570141762632,1.518862721539207,1.843416525724911
180,56.0,0.8480480961564261,0.630550145771044,0.5854949539404865,1.9255823575142919,1.48902050523846,1.5258777059812942,1.8360944646244381
181,56.2,0.8489716876291414,0.629756258912623,0.5881977158218056,1.9213580896862967,1.4932733832778573,1.5329214628429464,1.8288190770428379
182,56.4,0.8498926929868639,0.6289667688239944,0.5909116256628234,1.9171208767698387,1.4975156204355429,1.5399942727699694,1.8215898486463915
183,56.6,0.8508111094240512,0.628181649858944,0.5936367921613095,1.912870734901738,1.5017471889387648,1.5470964190432057,1.81440627216856
184,56.8,0.8517269341430476,0.627400876617787,0.5963733250410816,1.9086076801532421,1.5059680611012163,1.5542281876175146,1.8072678472837216
185,57.0,0.8526401643540922,0.626624423944423,0.5991213350671181,1.90433172852823,1.5101782093233056,1.5613898671611581,1.8001740804836417
186,57.2,0.8535507972753273,0.6258522669234388,0.6018809340610606,1.9000428959609914,1.5143776060924032,1.568581749096204,1.7931244849563246
187,57.4,0.8544588301328074,0.625084380877255,0.6046522349168157,1.895741198314363,1.5185662239831654,1.5758041276391854,1.7861185804675468
188,57.6,0.8553642601605067,0.6243207413633155,0.6074353516165034,1.8914266513775988,1.5227440356577644,1.5830572998426633,1.7791558932447376
189,57.8,0.8562670846003282,0.6235613241713208,0.610230399246644,1.8870992708643024,1.526911013866183,1.5903415656374134,1.772235955863218
190,58.0,0.8571673007021122,0.6228061053205031,0.6130374940146222,1.8827590724102323,1.5310671314464213,1.597657227875332,1.765358307134822
191,58.2,0.8580649057236446,0.6220550610569426,0.6158567532653646,1.878406071571278,1.5352123613248536,1.6050045923729035,1.7585224919987688
192,58.4,0.8589598969306643,0.6213081678509254,0.6186882954983793,1.8740402838211774,1.5393466765163912,1.6123839679556025,1.7517280614147057
193,58.6,0.8598522715968734,0.6205654023943393,0.6215322403849964,1.8696617245493496,1.5434700501248821,1.619795666502828,1.7449745722579666
